Date,Price,Open,High,Low,Vol,Change%
21-Jun-15,"4,192.87","4,471.61","4,720.70","4,139.53",215.45B,-6.37%
14-Jun-15,"4,478.36","5,174.42","5,176.79","4,476.50",268.58B,-13.32%
7-Jun-15,"5,166.35","5,045.69","5,178.19","4,997.48",337.15B,2.85%
31-May-15,"5,023.10","4,633.10","5,051.63","4,615.23",327.58B,8.92%
24-May-15,"4,611.74","4,660.07","4,986.50","4,431.56",346.27B,-0.98%
17-May-15,"4,657.60","4,277.89","4,658.27","4,260.51",245.15B,8.10%
10-May-15,"4,308.69","4,231.27","4,415.63","4,187.82",240.99B,2.44%
3-May-15,"4,205.92","4,441.34","4,488.87","4,099.04",234.08B,-5.31%
26-Apr-15,"4,441.66","4,441.93","4,572.39","4,398.64",248.53B,1.09%
19-Apr-15,"4,393.69","4,301.35","4,444.41","4,188.57",346.78B,2.48%
12-Apr-15,"4,287.30","4,072.72","4,317.22","4,031.24",306.65B,6.27%
5-Apr-15,"4,034.31","3,899.42","4,040.35","3,891.73",225.80B,4.41%
29-Mar-15,"3,863.93","3,710.61","3,864.40","3,710.61",252.62B,4.68%
22-Mar-15,"3,691.10","3,640.10","3,715.87","3,600.70",259.51B,2.04%
15-Mar-15,"3,617.32","3,391.16","3,632.34","3,377.09",251.93B,7.25%
8-Mar-15,"3,372.91","3,224.31","3,391.26","3,198.37",157.60B,4.06%
1-Mar-15,"3,241.19","3,332.72","3,336.76","3,221.67",162.57B,-2.09%
22-Feb-15,"3,310.30","3,256.48","3,324.55","3,202.19",83.38B,1.95%
15-Feb-15,"3,246.91","3,206.14","3,255.73","3,195.88",45.21B,1.34%
8-Feb-15,"3,203.83","3,063.51","3,237.16","3,049.11",102.86B,4.16%
